Citizen_ID,Age,Gender,Mode_of_Transport,Work_Hours,Shopping_Hours,Entertainment_Hours,Home_Energy_Consumption_kWh,Charging_Station_Usage,Carbon_Footprint_kgCO2,Steps_Walked,Calories_Burned,Sleep_Hours,Social_Media_Hours,Public_Events_Hours
1001,56,Female,Walking,5,2,0,5.32,0,44.7,15635,975,9.2,5.8,0.5
1002,69,Male,Bicycle,0,2,2,2.19,0,92.39,1671,455,8.1,5.5,1.9
1003,46,Male,Bike,0,4,0,4.68,0,78.57,1777,324,4.7,3.8,2.8
1004,32,Male,Car,7,2,3,3.42,0,55.46,4022,537,4.9,3.5,0.5
1005,60,Male,Walking,3,3,1,2.79,0,98.95,19244,1414,6.6,2.2,0.5
1006,25,Male,Walking,0,1,3,9.65,0,51.87,14817,1104,5.2,0.1,1.3
1007,38,Male,EV,9,0,1,6.79,1,15.24,15260,997,4.2,0.8,2.4
1008,56,Male,EV,6,4,2,7.83,0,33.6,2074,346,8.8,4.5,0.9
1009,36,Male,Bike,4,3,1,4.52,0,49.25,10908,663,4.1,2.8,0.8
1010,40,Female,Car,4,0,0,5.15,0,24.12,10475,853,9.0,0.9,1.9
1011,28,Female,Walking,0,0,3,3.9,1,95.28,13878,926,4.9,1.6,1.6
1012,28,Female,Bike,9,4,1,2.78,0,79.02,16120,1019,9.8,5.7,0.2
1013,41,Female,Bike,5,3,3,3.43,0,34.15,2986,387,7.6,2.2,0.2
1014,53,Female,Public Transport,8,0,2,8.38,1,63.17,11825,815,8.4,5.4,1.9
1015,57,Male,EV,8,0,2,7.42,0,74.93,10193,812,4.7,1.8,1.4
1016,41,Female,Car,7,3,0,6.38,0,94.72,18430,1081,9.2,3.3,2.9
1017,20,Female,Walking,4,2,2,5.8,0,89.35,3176,507,9.0,0.1,2.0
1018,39,Female,Bike,0,0,1,9.38,0,56.37,19722,1383,7.9,3.1,0.0
1019,19,Male,Walking,8,1,2,2.58,0,79.72,11047,664,7.0,3.8,1.4
1020,41,Male,Public Transport,0,3,0,4.24,1,60.59,17884,1389,8.3,1.4,1.2
1021,61,Male,Car,7,0,3,4.8,0,59.74,19617,1334,4.0,3.5,0.3
1022,47,Male,Bike,4,4,3,8.26,1,20.33,5608,464,7.6,3.9,2.8
1023,55,Female,Walking,2,1,2,9.94,0,21.35,12906,764,9.1,4.1,2.4
1024,19,Female,EV,6,0,1,3.93,1,57.66,8234,560,6.1,4.7,0.7
1025,38,Male,Public Transport,6,1,0,8.99,0,34.2,7610,643,4.6,1.9,0.8
1026,50,Other,Car,8,1,1,8.64,0,11.89,11524,767,6.5,3.4,0.1
1027,29,Female,Public Transport,6,2,0,3.8,0,75.06,17984,1086,8.4,5.9,0.9
1028,39,Male,EV,2,1,2,5.19,1,12.92,14411,888,4.6,5.4,1.8
1029,61,Male,Car,0,2,0,5.28,0,63.57,10180,645,5.2,5.7,1.3
1030,42,Male,Public Transport,7,3,0,9.83,0,58.53,16225,1163,4.9,2.3,2.9
1031,66,Male,Bicycle,2,2,2,3.45,0,97.19,11073,904,8.8,4.7,0.2
1032,44,Male,EV,7,4,1,8.39,0,53.58,5483,513,4.4,3.7,1.8
1033,59,Male,EV,7,0,2,4.67,0,15.72,6901,799,8.1,0.5,2.6
1034,45,Male,EV,4,3,0,7.85,0,59.65,7129,836,6.2,4.9,1.4
1035,33,Male,Bicycle,0,3,2,5.36,0,85.7,19138,1223,8.5,4.1,0.0
1036,32,Female,Bicycle,9,4,0,6.63,0,99.72,19848,1145,9.8,1.2,0.7
1037,64,Male,Walking,6,2,2,8.66,0,48.73,11415,1055,4.7,0.5,1.0
1038,68,Female,Bike,9,0,3,8.43,0,38.83,5482,551,5.9,5.0,2.9
1039,61,Male,Public Transport,4,2,3,8.93,1,91.6,10686,930,8.9,0.5,2.7
1040,69,Other,Walking,7,1,2,2.48,0,27.21,8400,820,5.6,0.5,2.8
1041,20,Male,Public Transport,8,2,1,7.54,0,65.39,7806,848,5.3,2.6,2.5
1042,54,Male,Bike,6,3,0,3.12,0,46.51,11516,780,9.0,0.8,1.1
1043,68,Other,Bicycle,6,0,3,5.33,1,13.7,8396,655,9.9,5.5,2.7
1044,24,Female,Bike,0,2,1,6.39,1,41.26,8338,705,7.3,2.8,2.9
1045,38,Female,Bicycle,3,0,0,5.22,1,33.87,10950,774,5.7,3.4,1.1
1046,26,Male,Bike,1,0,3,6.16,0,71.75,13500,1116,6.4,5.6,0.8
1047,56,Male,Walking,1,1,3,9.97,0,95.39,12545,773,5.0,3.2,1.6
1048,35,Female,Car,1,1,2,3.08,0,34.12,6241,416,8.6,2.1,0.6
1049,21,Female,Walking,3,3,0,7.4,0,83.03,5695,640,8.6,4.8,0.1
1050,42,Female,Public Transport,0,4,1,5.17,0,14.98,12530,1025,9.3,2.7,2.8
1051,31,Female,Walking,3,0,1,3.06,1,58.43,15312,1014,4.2,1.9,2.8
1052,67,Male,EV,1,4,1,3.27,1,16.35,19972,1391,7.4,4.3,0.5
1053,26,Female,Public Transport,4,3,0,9.59,1,94.06,15318,1107,5.3,4.8,1.2
1054,43,Male,Bike,2,0,1,9.04,0,78.97,19166,1332,6.0,4.8,2.5
1055,19,Male,Public Transport,7,0,1,9.26,0,69.22,12324,923,8.7,5.9,2.0
1056,37,Male,Car,3,4,1,9.93,0,84.15,4218,424,5.2,4.7,1.2
1057,45,Female,Bicycle,0,2,2,3.67,0,68.28,5016,544,7.8,4.6,2.2
1058,64,Male,Bike,0,1,2,4.84,1,97.2,3837,633,7.9,5.1,2.7
1059,24,Male,Public Transport,9,2,0,7.35,0,74.26,17312,1134,9.7,0.0,2.8
1060,61,Female,Bike,2,4,0,5.87,0,93.22,8034,879,8.7,2.2,1.1
1061,25,Male,Bike,8,1,1,5.35,0,56.54,8309,596,8.8,4.4,0.5
1062,64,Female,Bike,6,2,2,4.86,0,20.54,15379,1021,7.2,3.6,2.7
1063,52,Male,Bicycle,1,1,3,6.75,1,57.54,5239,501,5.1,1.1,0.3
1064,31,Female,Walking,8,0,3,6.6,0,21.42,13128,1069,6.6,1.8,2.2
1065,34,Female,Bike,9,2,1,3.29,1,63.32,16856,1087,7.3,2.0,0.4
1066,53,Male,EV,1,1,1,5.77,0,53.42,10611,952,8.1,3.4,1.2
1067,67,Male,Car,2,1,2,6.43,0,66.03,5150,478,7.6,5.0,1.2
1068,57,Male,Bicycle,9,1,2,6.56,1,10.9,12109,956,6.4,5.6,0.5
1069,21,Male,Public Transport,1,2,2,3.68,0,27.54,2446,564,5.6,4.5,2.8
1070,19,Other,Bicycle,2,3,0,7.94,1,54.22,12936,1132,5.0,5.1,0.0
1071,23,Male,Public Transport,5,2,0,2.2,0,95.55,12036,1011,8.2,2.8,2.7
1072,59,Female,Bicycle,8,4,1,4.84,0,44.52,7468,561,7.9,2.3,2.7
1073,21,Male,Public Transport,8,2,0,8.24,0,48.19,15021,908,8.1,2.4,1.0
1074,46,Female,Bike,6,1,2,6.51,1,74.32,5175,420,6.2,3.7,2.1
1075,35,Female,Walking,2,0,2,4.09,0,64.34,16390,1265,5.6,0.7,0.8
1076,43,Female,Public Transport,3,2,0,7.56,1,36.9,6080,711,8.6,3.5,2.3
1077,61,Male,Public Transport,5,2,3,6.54,0,46.97,16471,1304,8.6,4.0,1.7
1078,51,Male,EV,4,1,1,8.37,0,29.59,15893,1173,6.7,2.6,0.9
1079,27,Male,Public Transport,1,0,3,7.88,0,96.94,18248,1083,7.7,5.7,1.2
1080,53,Female,EV,5,0,1,6.88,0,21.76,17009,958,6.2,3.6,2.1
1081,31,Female,Car,2,4,3,5.91,0,43.47,7217,825,8.2,1.3,2.7
1082,48,Other,Bike,7,2,0,3.07,1,12.33,6672,526,9.0,2.9,0.4
1083,65,Male,EV,1,0,1,4.09,0,29.96,2502,597,8.1,4.1,1.7
1084,32,Female,Walking,0,0,1,5.35,0,80.24,2410,558,7.1,1.9,0.8
1085,25,Female,Bike,8,3,1,6.79,0,28.11,4770,673,6.8,0.5,2.4
1086,31,Male,EV,2,3,2,6.11,0,17.21,11097,805,7.9,3.5,0.2
1087,40,Male,Bike,0,0,2,4.31,0,52.7,5001,705,8.1,5.7,2.1
1088,57,Female,Bike,6,4,3,2.05,0,10.9,1598,218,7.4,2.9,0.5
1089,38,Female,Bike,9,0,0,5.97,0,17.63,11976,1056,7.7,5.4,1.8
1090,33,Female,Car,4,1,2,4.29,0,82.69,7391,530,4.6,5.0,2.5
1091,62,Male,Walking,4,2,1,7.88,0,79.43,17450,1225,9.7,0.9,2.3
1092,35,Female,Bicycle,0,4,2,2.19,0,92.36,15908,963,8.7,4.2,2.3
1093,64,Male,Bicycle,8,1,0,6.68,0,86.91,12590,1126,6.2,2.6,1.6
1094,41,Male,EV,6,4,2,9.53,0,71.49,17279,1207,7.4,1.5,2.7
